timestamp,msl,agl,pressure,latitude,longitude,speed,heading,temperature,relative_humidity,internal_temperature,rise_speed
"2025-12-04 17:45:22",15,0,99604,51.705125,5.14033,2.25,323.3,22.41,33.15,,-0.1
"2025-12-04 17:45:23",15,0,99597,0,,4.4,300.6,22.41,33.1,,-0.1
"2025-12-04 17:45:24",16,0,99591,0,,2.05,314.4,22.42,33,,0
"2025-12-04 17:45:25",16,0,99586,51.705178,5.140218,3.95,314.4,22.43,32.9,,0
"2025-12-04 17:45:27",18,2,99569,0,,3.05,308,22.44,32.85,,0.2
"2025-12-04 17:45:28",18,2,99562,51.705237,5.140095,4.2,304.9,22.44,32.75,,0.3
"2025-12-04 17:45:29",20,4,99546,0,,2.9,307.2,22.45,32.8,,0.4
"2025-12-04 17:45:30",21,5,99529,0,,3.3,293.9,22.45,32.75,,0.5
"2025-12-04 17:45:31",23,7,99512,51.705282,5.139972,2.8,303.8,22.45,32.75,,0.6
"2025-12-04 17:45:32",23,7,99505,0,,3.35,292.1,22.46,32.7,,0.6
"2025-12-04 17:45:33",24,8,99498,0,,5.1,300.3,22.48,32.6,,0.7
"2025-12-04 17:45:34",24,8,99492,51.705335,5.139803,5.5,299.8,22.5,32.4,,0.7
"2025-12-04 17:45:35",25,9,99483,0,,4.75,292.5,22.55,32.3,,0.8
"2025-12-04 17:45:36",26,10,99475,0,,5.25,291.4,22.57,32.2,,0.8
"2025-12-04 17:45:37",27,11,99468,51.705387,5.139603,4.6,288.5,22.57,32.15,,0.8
"2025-12-04 17:45:38",27,11,99464,0,,5.2,296.8,22.57,32.1,,0.8
"2025-12-04 17:45:39",27,11,99461,0,,5.15,295.3,22.57,32.05,,0.8
"2025-12-04 17:45:40",27,11,99458,51.705445,5.13941,3.95,292.1,22.57,32,,0.8
"2025-12-04 17:45:41",28,12,99447,0,,4.85,284.7,22.59,31.95,,0.7
"2025-12-04 17:45:42",29,13,99437,0,,4.95,291.8,22.59,31.95,,0.7
"2025-12-04 17:45:43",30,14,99428,51.70549,5.139217,5.1,299.4,22.61,31.95,,0.6
"2025-12-04 17:45:44",31,15,99419,0,,5.85,292.4,22.59,31.95,,0.6
"2025-12-04 17:45:45",31,15,99411,0,,5.55,302.8,22.58,31.95,,0.6
"2025-12-04 17:45:46",32,16,99404,51.705558,5.139,5.75,291.6,22.6,31.95,28,0.6
"2025-12-04 17:45:47",33,17,99394,0,,5.7,291.6,22.57,31.9,,0.7
"2025-12-04 17:45:48",34,18,99385,0,,4.85,292,22.58,31.9,,0.7
"2025-12-04 17:45:49",35,19,99376,51.705618,5.138792,6.15,292,22.57,31.9,,0.7
"2025-12-04 17:45:50",35,19,99365,0,,5.5,296.1,22.57,31.9,,0.7
"2025-12-04 17:45:51",36,20,99355,0,,5.75,289.9,22.57,31.9,,0.8
"2025-12-04 17:45:52",37,21,99346,51.70568,5.138563,5.75,300.9,22.57,31.85,,0.8
"2025-12-04 17:45:53",39,23,99326,0,,5.4,306.2,22.57,31.95,,0.9
"2025-12-04 17:45:54",41,25,99307,0,,6,299.3,22.57,31.9,,1
"2025-12-04 17:45:55",42,26,99288,51.705765,5.138347,6.65,304.8,22.57,31.85,,1
"2025-12-04 17:45:57",44,28,99274,0,,5.95,292.7,22.57,31.8,,1
"2025-12-04 17:45:58",44,28,99268,51.705852,5.138113,6.75,306.4,22.57,31.8,,1
"2025-12-04 17:45:59",45,29,99257,0,,6.1,303.5,22.57,31.75,,1
"2025-12-04 17:46:00",46,30,99246,0,,6.85,297.4,22.57,31.75,,1
"2025-12-04 17:46:01",47,31,99236,51.705943,5.13787,6.75,302.5,22.57,31.7,,1
"2025-12-04 17:46:02",48,32,99219,0,,6.6,305.3,22.57,31.7,,1.1
