timestamp,msl,agl,pressure,latitude,longitude,speed,heading,temperature,relative_humidity,internal_temperature,rise_speed
"2025-03-07 13:53:37",66,0,100332,38.000235,23.965167,4.95,201.9,33.12,28.65,,-0.2
"2025-03-07 13:53:38",68,1,100307,0,,6.25,189,33.09,28.45,,0
"2025-03-07 13:53:39",71,4,100284,0,,8.1,184.8,33.08,28.2,,0.1
"2025-03-07 13:53:40",73,6,100262,38.00005,23.96514,6.65,195.9,33.05,27.95,,0.3
"2025-03-07 13:53:42",78,11,100206,0,,11.2,197.3,32.89,27.2,,0.6
"2025-03-07 13:53:43",80,13,100178,37.999802,23.965062,9.6,188.2,32.79,26.9,41.25,0.8
"2025-03-07 13:53:44",84,17,100139,0,,9.75,199.3,32.68,26.7,,1.2
"2025-03-07 13:53:45",87,20,100103,0,,11.7,181.9,32.5,26.5,,1.5
"2025-03-07 13:53:46",90,23,100068,37.999535,23.96499,8.45,210.7,32.35,26.45,,1.8
"2025-03-07 13:53:47",92,25,100042,0,,10.85,191.7,32.31,26.45,,2
"2025-03-07 13:53:48",95,28,100015,0,,8.2,219.1,32.32,26.5,,2.3
"2025-03-07 13:53:49",97,30,99988,37.999302,23.96485,10.55,207.9,32.22,26.5,,2.6
"2025-03-07 13:53:50",100,33,99958,0,,8.1,196.9,32.18,26.5,,2.6
"2025-03-07 13:53:51",103,36,99929,0,,11.6,198.8,32.01,26.5,,2.6
"2025-03-07 13:53:52",105,38,99900,37.99905,23.964733,8.85,195.9,31.93,26.55,,2.7
"2025-03-07 13:53:55",107,40,99876,37.998762,23.96461,14.7,194.8,31.76,26.8,,2.3
"2025-03-07 13:53:56",109,42,99863,0,,10.7,214.2,31.74,26.85,,2.1
"2025-03-07 13:53:57",110,43,99851,0,,13.75,192.8,31.74,26.9,,1.9
"2025-03-07 13:53:58",111,44,99840,37.998452,23.964443,11.35,222.6,31.67,27,,1.7
"2025-03-07 13:53:59",113,46,99813,0,,13.7,205.4,31.59,27,,1.8
"2025-03-07 13:54:00",116,49,99784,0,,12.6,216.1,31.52,27,,1.8
"2025-03-07 13:54:01",118,51,99756,37.998147,23.964218,15,200.6,31.57,27.1,,1.8
"2025-03-07 13:54:02",121,54,99731,0,,11.5,210.3,31.4,27.2,,1.7
"2025-03-07 13:54:03",123,56,99707,0,,,204.6,31.22,27.25,,1.7
"2025-03-07 13:54:04",125,58,99684,37.997807,23.964007,9.6,212.6,31.14,27.35,,1.6
"2025-03-07 13:54:05",127,60,99663,0,,16.6,182.8,31.07,27.5,,1.6
"2025-03-07 13:54:06",128,61,99642,0,,,208.4,30.98,27.6,,1.7
"2025-03-07 13:54:07",130,63,99622,37.99747,23.963897,16.3,193.9,30.98,27.7,,1.7
"2025-03-07 13:54:08",131,64,99618,0,,11.8,209.7,30.94,27.75,,1.8
"2025-03-07 13:54:09",131,64,99615,0,,15,197.2,30.92,27.8,,1.7
"2025-03-07 13:54:10",131,64,99612,37.997135,23.963728,9.55,211.1,31.05,27.85,42.25,1.7
"2025-03-07 13:54:11",131,64,99610,0,,14.75,193,30.99,27.85,,1.5
"2025-03-07 13:54:12",132,65,99608,0,,13,200.1,31.06,27.85,,1.3
"2025-03-07 13:54:13",132,65,99606,37.996792,23.963582,13.7,199.7,31.14,27.85,,1.1
"2025-03-07 13:54:14",131,64,99615,0,,,,31.16,27.85,,1
"2025-03-07 13:54:15",130,63,99624,0,,,,31.1,27.8,,0.7
"2025-03-07 13:54:16",129,62,99634,0,,,,31.1,27.8,,0.5
"2025-03-07 13:54:17",129,62,99641,0,,13.9,194.3,31.21,27.85,,0.2
"2025-03-07 13:54:18",128,61,99648,0,,14.55,200.3,31.21,27.8,,0
"2025-03-07 13:54:19",127,60,99656,37.996067,23.963263,14.45,196.9,31.21,27.75,,-0.3
"2025-03-07 13:54:21",125,58,99677,0,,14.45,195.7,31.12,27.65,,-0.4
"2025-03-07 13:54:22",124,57,99688,37.995685,23.963115,16.1,197.2,31.04,27.7,,-0.5
"2025-03-07 13:54:25",127,60,99662,37.995308,23.962952,14.7,198.7,30.91,27.85,,-0.4
"2025-03-07 13:54:27",129,62,99641,0,,15.05,189.3,30.99,28,,-0.1
"2025-03-07 13:54:28",129,62,99632,37.994943,23.962813,13.15,207.3,31.06,28,,0
"2025-03-07 13:54:30",134,67,99585,0,,12.2,201.2,31.02,27.9,,0.5
"2025-03-07 13:54:31",136,69,99562,37.994572,23.962658,15.95,195.3,31.01,27.85,,0.7
"2025-03-07 13:54:33",140,73,99511,0,,15.25,199.1,30.83,27.95,,1.2
"2025-03-07 13:54:34",143,76,99486,37.994182,23.962495,15.25,196.8,30.75,28,,1.5
"2025-03-07 13:54:35",146,79,99451,0,,,,30.76,28.1,,1.6
"2025-03-07 13:54:36",149,82,99415,0,,,,30.74,28.15,,1.8
"2025-03-07 13:54:37",152,85,99380,0,,,,30.63,28.15,42.75,2.1
"2025-03-07 13:54:39",156,89,99338,0,,13.85,193.9,30.61,28.25,,2.1
"2025-03-07 13:54:40",158,91,99318,37.99347,23.96221,13.45,197.7,30.56,28.25,,2.3
"2025-03-07 13:54:41",161,94,99281,0,,15.2,192.1,30.47,28.3,,2.4
"2025-03-07 13:54:42",164,97,99243,0,,14.45,200.2,30.42,28.35,,2.5
"2025-03-07 13:54:43",168,101,99206,37.99309,23.962065,14.7,193.9,30.4,28.4,,2.6
"2025-03-07 13:54:44",171,104,99176,0,,14.8,195.5,30.33,28.45,,2.7
"2025-03-07 13:54:45",173,106,99148,0,,14.8,195.5,30.33,28.5,,2.7
"2025-03-07 13:54:46",176,109,99120,37.99269,23.961913,14.35,194.4,30.34,28.55,,2.7
"2025-03-07 13:54:47",179,112,99088,0,,18.4,195.7,30.4,28.55,,2.7
"2025-03-07 13:54:48",182,115,99055,0,,18.4,195.7,30.44,28.55,,2.7
"2025-03-07 13:54:49",185,118,99022,37.992285,23.961727,15.4,191.7,30.49,28.55,,2.7
"2025-03-07 13:54:50",187,120,98998,0,,,,30.48,28.55,,2.6
"2025-03-07 13:54:51",189,122,98976,0,,,,30.45,28.5,,2.7
"2025-03-07 13:54:52",191,124,98954,0,,,,30.38,28.5,,2.7
"2025-03-07 13:54:54",195,128,98911,0,,16.9,200.7,30.32,28.5,,2.6
"2025-03-07 13:54:55",197,130,98890,37.991497,23.961372,15.45,196,30.35,28.55,,2.5
"2025-03-07 13:54:56",199,132,98864,0,,,,30.29,28.55,,2.4
"2025-03-07 13:54:57",201,134,98840,0,,,,30.33,28.55,,2.3
"2025-03-07 13:54:58",203,136,98816,0,,,,30.27,28.6,,2.3
"2025-03-07 13:54:59",204,137,98805,0,,17.35,196.9,30.15,28.65,,2.1
"2025-03-07 13:55:00",205,138,98794,0,,12.1,189.1,30.12,28.65,,2
"2025-03-07 13:55:01",206,139,98784,37.990728,23.961072,15.8,207.2,30.04,28.75,,1.8
"2025-03-07 13:55:02",208,141,98764,0,,,,30.04,28.8,,1.8
"2025-03-07 13:55:03",210,143,98746,0,,,,30.04,28.85,,1.7
"2025-03-07 13:55:04",211,144,98728,0,,,,29.98,28.85,43,1.7
"2025-03-07 13:55:05",212,145,98720,0,,11.4,201,30.04,28.85,,1.6
"2025-03-07 13:55:06",213,146,98712,0,,13.1,199.2,29.96,28.8,,1.5
"2025-03-07 13:55:07",213,146,98704,37.989985,23.960822,13.75,191.2,29.96,28.85,,1.4
"2025-03-07 13:55:08",214,147,98698,0,,15.25,194.7,29.83,28.85,,1.3
"2025-03-07 13:55:09",214,147,98693,0,,15.25,194.7,29.83,28.9,,1.2
"2025-03-07 13:55:10",215,148,98688,37.989587,23.960708,14.7,196.2,29.73,28.9,,1.1
"2025-03-07 13:55:11",215,148,98682,0,,16.25,196.8,29.78,28.9,,0.9
"2025-03-07 13:55:12",216,149,98677,0,,15.4,195.4,29.83,29,,0.9
"2025-03-07 13:55:13",216,149,98672,37.989182,23.960558,15.4,198.9,29.75,29,,0.8
"2025-03-07 13:55:14",218,151,98656,0,,15.4,198.9,29.73,29,,0.9
"2025-03-07 13:55:15",219,152,98641,0,,15.95,199.5,29.6,29,,0.9
"2025-03-07 13:55:16",220,153,98626,37.988785,23.960402,14.65,193.1,29.48,29.1,,0.8
"2025-03-07 13:55:17",222,155,98611,0,,,,29.4,29.2,,0.8
"2025-03-07 13:55:18",223,156,98596,0,,,,29.38,29.35,,0.9
"2025-03-07 13:55:19",224,157,98582,0,,,,29.39,29.45,,0.9
"2025-03-07 13:55:20",225,158,98577,0,,16.55,212.1,29.38,29.5,,0.9
"2025-03-07 13:55:21",225,158,98573,0,,13.55,200.6,29.39,29.5,,0.9
"2025-03-07 13:55:22",226,159,98570,37.98807,23.960015,14.05,198.5,29.3,29.55,,0.9
"2025-03-07 13:55:25",232,165,98500,37.987675,23.959877,15.85,193.9,29.24,29.75,,1.2
"2025-03-07 13:55:26",234,167,98479,0,,14.05,199.4,29.3,29.75,,1.3
"2025-03-07 13:55:27",236,169,98459,0,,14.05,199.4,29.25,29.7,,1.4
"2025-03-07 13:55:28",237,170,98440,37.987292,23.959722,13.6,198,29.26,29.75,,1.4
"2025-03-07 13:55:32",248,181,98317,0,,,,29.18,29.85,,1.8
"2025-03-07 13:55:33",251,184,98286,0,,,,29.1,29.85,,2
"2025-03-07 13:55:34",254,187,98256,0,,,,29.08,29.9,43.5,2.2
"2025-03-07 13:55:35",257,190,98224,37.986425,23.959405,15.55,190.6,29.14,29.95,,2.4
"2025-03-07 13:55:36",261,194,98184,0,,15.6,190.6,29.19,30,,2.5
"2025-03-07 13:55:37",264,197,98146,37.986178,23.959318,16.25,199.4,29.24,29.95,,2.7
"2025-03-07 13:55:38",267,200,98114,0,,,,29.27,29.95,,2.8
"2025-03-07 13:55:39",270,203,98085,0,,,,29.27,29.9,,2.8
"2025-03-07 13:55:40",272,205,98056,0,,,,29.24,29.85,,2.9
"2025-03-07 13:55:41",272,205,98063,0,,,,29.19,29.8,,2.6
"2025-03-07 13:55:42",271,204,98071,0,,,,29.18,29.85,,2.4
"2025-03-07 13:55:43",270,203,98080,0,,,,29.09,29.85,,2.2
"2025-03-07 13:55:44",250,183,98304,37.985303,23.959005,13.65,196.5,29.04,29.85,,0.1
"2025-03-07 13:55:45",247,180,98333,0,,13.65,196.5,28.96,29.9,,-0.3
