timestamp,msl,agl,pressure,latitude,longitude,speed,heading,temperature,relative_humidity,internal_temperature,rise_speed
"2025-01-07 17:00:19",4092,8,96380,41.839628,1.22898,17,229.1,24.58,59.15,,0
"2025-01-07 17:00:20",4095,11,96353,0,,15.75,225.4,24.56,59.15,,0.2
"2025-01-07 17:00:21",4097,13,96325,0,,14.2,219.4,24.51,59.15,,0.4
"2025-01-07 17:00:22",4100,16,96298,41.839338,1.228597,13.9,227.1,24.47,59.25,,0.6
"2025-01-07 17:00:23",4103,19,96264,0,,11.35,235.5,24.43,59.3,,0.9
"2025-01-07 17:00:24",4106,22,96232,0,,12.45,235.8,24.39,59.35,,1.1
"2025-01-07 17:00:25",4109,25,96200,41.839142,1.228245,11.65,234,24.35,59.4,,1.3
"2025-01-07 17:00:26",4110,26,96182,0,,11.8,230.5,24.31,59.5,,1.3
"2025-01-07 17:00:27",4112,28,96163,0,,12.45,231.8,24.27,59.55,,1.5
"2025-01-07 17:00:28",4114,30,96144,41.838947,1.227892,12.75,239.2,24.23,59.65,,1.6
"2025-01-07 17:00:29",4117,33,96114,0,,11.75,240.3,24.19,59.7,,1.9
"2025-01-07 17:00:30",4119,35,96085,0,,12.7,241.6,24.16,59.85,,1.9
"2025-01-07 17:00:31",4122,38,96056,41.838783,1.227502,12.25,236.9,24.1,59.95,,2.3
"2025-01-07 17:00:32",4127,43,95999,0,,12.15,232.9,24.09,60.05,,2.7
"2025-01-07 17:00:33",4132,48,95943,0,,11.45,214,24.05,60.15,,2.9
"2025-01-07 17:00:34",4137,53,95888,41.83853,1.227207,14.95,203.7,24.02,60.25,,3.1
"2025-01-07 17:00:35",4139,55,95866,0,,14.45,226.4,23.97,60.35,,3.1
"2025-01-07 17:00:36",4142,58,95843,0,,12.75,223,23.94,60.5,,3
"2025-01-07 17:00:37",4144,60,95820,41.838248,1.226897,12.85,215.4,23.92,60.65,,2.9
"2025-01-07 17:00:38",4146,62,95792,0,,15.55,215,23.89,60.75,,3
"2025-01-07 17:00:39",4149,65,95765,0,,16.15,218,23.87,60.8,,3
"2025-01-07 17:00:40",4151,67,95738,41.837913,1.22657,15.9,214.1,23.83,60.85,,3.1
"2025-01-07 17:00:42",4157,73,95675,0,,22.5,228.1,23.79,60.95,,3.1
"2025-01-07 17:00:43",4160,76,95644,41.837498,1.226093,23.4,219.5,23.76,61.05,26.75,3.1
"2025-01-07 17:00:44",4157,73,95672,0,,16.5,230.2,23.74,61.1,,2.5
"2025-01-07 17:00:45",4155,71,95700,0,,17.25,228.3,23.73,61.15,,1.9
"2025-01-07 17:00:46",4152,68,95728,41.837185,1.225613,18.3,227.1,23.69,61.2,,1.2
"2025-01-07 17:00:47",4151,67,95742,0,,19.85,230.9,23.67,61.25,,0.9
"2025-01-07 17:00:48",4149,65,95757,0,,19.9,231.4,23.65,61.35,,0.7
"2025-01-07 17:00:49",4148,64,95772,41.836853,1.22507,18.9,233.5,23.63,61.4,,0.4
"2025-01-07 17:00:50",4148,64,95768,0,,18.25,232.4,23.61,61.5,,0.2
"2025-01-07 17:00:51",4149,65,95765,0,,16.85,235.4,23.58,61.55,,0
"2025-01-07 17:00:52",4149,65,95762,41.836565,1.224553,17.6,231,23.57,61.6,,-0.2
"2025-01-07 17:00:53",4151,67,95740,0,,16.9,233.3,23.54,61.7,,0
"2025-01-07 17:00:54",4153,69,95719,0,,14.3,233.5,23.52,61.75,,-0.3
"2025-01-07 17:00:55",4155,71,95698,41.836302,1.224108,14.7,223.3,23.51,61.85,,-0.4
"2025-01-07 17:00:56",4158,74,95664,0,,16.9,218,23.5,61.95,,-0.1
"2025-01-07 17:00:57",4161,77,95629,0,,20.05,224.8,23.49,62.05,,0.3
"2025-01-07 17:00:58",4164,80,95594,41.835935,1.223652,22.6,225.8,23.49,62.1,,0.8
"2025-01-07 17:00:59",4164,80,95597,0,,21.9,233.4,23.48,62.15,,1.1
"2025-01-07 17:01:00",4164,80,95600,0,,17.25,238.8,23.47,62.25,,1.2
"2025-01-07 17:01:01",4163,79,95604,41.83562,1.223078,17.35,230.2,23.47,62.25,,1.3
"2025-01-07 17:01:03",4164,80,95602,0,,20.65,231.4,23.48,62.35,,1.2
"2025-01-07 17:01:04",4164,80,95602,41.835275,1.222538,18.85,232.7,23.48,62.4,,1.2
"2025-01-07 17:01:05",4165,81,95591,0,,16.05,227.9,23.48,62.4,,1.1
"2025-01-07 17:01:06",4165,81,95581,0,,14.45,224.6,23.49,62.5,,1.1
"2025-01-07 17:01:07",4166,82,95572,41.834997,1.222122,14.95,228.4,23.5,62.5,,1
"2025-01-07 17:01:08",4167,83,95562,0,,16.15,230.1,23.52,62.6,,0.8
"2025-01-07 17:01:09",4168,84,95553,0,,15.95,228,23.54,62.65,,0.6
"2025-01-07 17:01:10",4169,85,95544,41.834713,1.221705,14.9,220.4,23.57,62.65,26.5,0.4
"2025-01-07 17:01:11",4170,86,95533,0,,16.05,217.9,23.59,62.6,,0.4
"2025-01-07 17:01:12",4171,87,95522,0,,18.15,222.1,23.61,62.6,,0.5
"2025-01-07 17:01:13",4172,88,95512,41.834372,1.221305,18.1,225.7,23.64,62.55,,0.6
"2025-01-07 17:01:14",4174,90,95489,0,,15.8,224.1,23.67,62.55,,0.8
"2025-01-07 17:01:15",4176,92,95467,0,,14.15,218.1,23.72,62.5,,1
"2025-01-07 17:01:16",4178,94,95446,41.834068,1.220923,15.1,225.8,23.76,62.45,,1.2
"2025-01-07 17:01:18",4181,97,95410,0,,16.3,220,23.86,62.35,,1.3
"2025-01-07 17:01:19",4183,99,95392,41.833757,1.220535,15.2,224.4,23.91,62.3,,1.3
"2025-01-07 17:01:20",4186,102,95358,0,,13.1,233.6,23.97,62.3,,1.6
"2025-01-07 17:01:21",4189,105,95326,0,,13.25,218.9,24.05,62.2,,1.7
"2025-01-07 17:01:22",4192,108,95294,41.83349,1.220195,15.2,214.5,24.11,62.1,,1.9
"2025-01-07 17:01:23",4195,111,95261,0,,15.3,223.2,24.21,62,,2
"2025-01-07 17:01:24",4198,114,95227,0,,15.6,227.6,24.31,61.85,,2.2
"2025-01-07 17:01:25",4201,117,95194,41.833203,1.219812,14.25,230.1,24.41,61.8,,2.3
"2025-01-07 17:01:26",4206,122,95144,0,,13.15,228.9,24.55,61.6,,2.6
"2025-01-07 17:01:27",4210,126,95096,0,,13.15,228.9,24.67,61.4,,2.8
"2025-01-07 17:01:28",4215,131,95048,41.832968,1.219423,15.8,230.1,24.83,61.25,,3
"2025-01-07 17:01:29",4217,133,95025,0,,18.3,224.7,24.99,61.1,,3
"2025-01-07 17:01:30",4219,135,95002,0,,15.45,228.6,25.17,60.9,,2.9
"2025-01-07 17:01:31",4221,137,94980,41.832673,1.218983,15.75,234,25.38,60.65,,3.1
"2025-01-07 17:01:33",4225,141,94937,0,,16.9,225.3,25.85,60.1,,3
"2025-01-07 17:01:34",4227,143,94916,41.832377,1.218535,16.15,226.9,26.08,59.7,,2.9
"2025-01-07 17:01:35",4229,145,94890,0,,16.3,226.1,26.35,59.35,,2.9
"2025-01-07 17:01:36",4232,148,94866,0,,16.75,231.2,26.64,58.9,,2.8
"2025-01-07 17:01:37",4234,150,94842,41.832083,1.218088,16.8,227.3,26.94,58.45,29,2.7
"2025-01-07 17:01:38",4236,152,94822,0,,15.15,225.7,27.24,57.9,,2.5
"2025-01-07 17:01:39",4238,154,94803,0,,16.5,225.4,27.56,57.4,,2.3
"2025-01-07 17:01:40",4239,155,94784,41.831788,1.217663,16.65,229.3,27.87,56.8,,2
"2025-01-07 17:01:41",4243,159,94751,0,,16.2,228.5,28.19,56.1,,2.1
"2025-01-07 17:01:42",4246,162,94719,0,,15.15,223,28.5,55.3,,2.2
"2025-01-07 17:01:43",4249,165,94688,41.831492,1.217248,16.4,220.9,28.79,54.55,,2.3
"2025-01-07 17:01:45",4254,170,94632,0,,15.95,229.4,29.36,53.1,,2.4
"2025-01-07 17:01:46",4256,172,94606,41.8312,1.21682,15.1,226.9,29.61,52.5,,2.4
"2025-01-07 17:01:48",4260,176,94563,0,,14.85,225.9,30.13,51.15,,2.4
"2025-01-07 17:01:49",4262,178,94542,41.830918,1.216437,15.7,233.5,30.37,50.35,,2.3
"2025-01-07 17:01:51",4267,183,94493,0,,15.05,211.1,30.81,48.9,,2.4
"2025-01-07 17:01:52",4269,185,94470,41.830622,1.216068,12.95,225.9,30.99,48.2,,2.4
"2025-01-07 17:01:54",4271,187,94451,0,,16.8,226,31.31,46.9,,2.1
"2025-01-07 17:01:55",4272,188,94442,41.830348,1.215642,14.8,224.8,31.43,46.35,,1.9
"2025-01-07 17:01:57",4274,190,94420,0,,15.85,229.2,31.6,45.55,,1.8
"2025-01-07 17:01:58",4275,191,94408,41.830072,1.215218,17.05,228.1,31.67,45.15,,1.7
"2025-01-07 17:02:00",4279,195,94363,0,,14.85,222.3,31.78,44.4,,1.7
"2025-01-07 17:02:01",4282,198,94342,41.829767,1.214825,15.8,224.2,31.81,44.15,,1.6
"2025-01-07 17:02:04",4289,205,94260,41.829423,1.214378,16.6,220.5,31.84,43.3,31.75,1.7
"2025-01-07 17:02:05",4292,208,94235,0,,17.85,219.8,31.81,43.2,,1.8
"2025-01-07 17:02:06",4295,211,94202,0,,17.9,223.9,31.77,43.1,,1.9
"2025-01-07 17:02:07",4298,214,94170,41.829062,1.213943,20.4,223.9,31.72,42.95,,2.1
"2025-01-07 17:02:08",4301,217,94136,0,,20.9,228.7,31.66,42.85,,2.3
"2025-01-07 17:02:09",4304,220,94103,0,,20.4,232.6,31.58,42.8,,2.4
"2025-01-07 17:02:10",4308,224,94070,41.828707,1.21337,20.35,236.9,31.49,42.75,,2.6
"2025-01-07 17:02:20",4339,255,93744,0,,19.9,233.6,30.2,43.35,,3.1
"2025-01-07 17:02:21",4342,258,93712,0,,19.35,230.5,30.05,43.5,,3.1
"2025-01-07 17:02:22",4345,261,93680,41.827377,1.210968,21.05,229.7,29.89,43.65,,3.1
"2025-01-07 17:02:23",4350,266,93628,0,,20.45,232.6,29.73,43.8,,3.3
"2025-01-07 17:02:24",4355,271,93574,0,,17.8,230.6,29.58,44,,3.4
"2025-01-07 17:02:25",4360,276,93520,41.827048,1.210422,18.95,230.7,29.42,44.2,,3.5
"2025-01-07 17:02:27",4372,288,93400,0,,19.35,230.4,29.12,44.55,,3.8
"2025-01-07 17:02:28",4377,293,93342,41.826708,1.209882,18.95,228.3,28.98,44.75,,3.9
"2025-01-07 17:02:29",4383,299,93279,0,,19.3,228.3,28.82,44.95,,4
"2025-01-07 17:02:30",4389,305,93218,0,,20.25,232.1,28.69,45.25,,4.1
"2025-01-07 17:02:31",4395,311,93158,41.826367,1.209333,20,231.8,28.54,45.4,30.25,4.1
"2025-01-07 17:02:32",4401,317,93090,0,,19.8,232.2,28.39,45.65,,4.3
"2025-01-07 17:02:33",4408,324,93019,0,,18.7,235.1,28.24,45.85,,5.4
"2025-01-07 17:02:34",4415,331,92948,41.826067,1.208772,17.85,241.9,28.11,46.1,,5.7
"2025-01-07 17:02:35",4423,339,92864,0,,18.4,240.6,27.97,46.3,,6.1
"2025-01-07 17:02:36",4431,347,92783,0,,21.8,240.6,27.82,46.55,,6.3
"2025-01-07 17:02:37",4439,355,92702,41.825808,1.208142,19.95,242.9,27.7,46.75,,6.5
"2025-01-07 17:02:38",4447,363,92619,0,,18,245.8,27.56,47,,6.7
"2025-01-07 17:02:39",4455,371,92533,0,,20.35,251.3,27.43,47.25,,6.8
