timestamp,msl,agl,pressure,latitude,longitude,speed,heading,temperature,relative_humidity,internal_temperature,rise_speed
"2025-03-02 23:34:29",121,-1,98902,-34.07736,-71.579577,0.05,307.1,25.97,36.35,,0
"2025-03-02 23:34:31",123,0,98888,0,,1.45,301.7,25.89,36.25,,0.1
"2025-03-02 23:34:32",123,0,98882,-34.07736,-71.579583,2.2,145.7,25.85,36.2,,0.1
"2025-03-02 23:34:34",131,8,98798,0,,2.75,73.6,25.78,36.1,,0.7
"2025-03-02 23:34:35",134,11,98756,-34.077375,-71.579515,1.1,271.7,25.74,36.05,,1.1
"2025-03-02 23:34:37",139,16,98709,0,,2.3,55.3,25.69,36,,1.2
"2025-03-02 23:34:38",141,18,98686,-34.07736,-71.579483,1.35,10.9,25.66,36.05,,1.6
"2025-03-02 23:34:40",146,23,98628,0,,3.4,88.6,25.6,36.05,,2
"2025-03-02 23:34:41",148,25,98600,-34.07734,-71.579423,2.9,48.2,25.58,36.05,30.5,2.2
"2025-03-02 23:34:42",151,28,98576,0,,3.7,5.7,25.56,36.1,,2.2
"2025-03-02 23:34:43",153,30,98553,0,,2.25,42.1,25.55,36.05,,2.2
"2025-03-02 23:34:44",155,32,98530,-34.077272,-71.57938,3.35,75.8,25.53,36.05,,2.5
"2025-03-02 23:34:45",157,34,98507,0,,3.5,30.2,25.51,36.05,,2.6
"2025-03-02 23:34:46",159,36,98484,0,,4.45,22.8,25.49,36.1,,2.5
"2025-03-02 23:34:47",161,38,98462,-34.07719,-71.579318,3.3,52.7,25.45,36.1,,2.3
"2025-03-02 23:34:48",163,40,98435,0,,2.35,21.9,25.43,36.05,,2.2
"2025-03-02 23:34:49",166,43,98408,0,,4.75,31.3,25.42,36.1,,2.2
"2025-03-02 23:34:50",168,45,98382,-34.077117,-71.579247,4.4,51.3,25.4,36.1,,2.3
"2025-03-02 23:34:51",171,48,98353,0,,3.35,14,25.38,36.1,,2.3
"2025-03-02 23:34:52",173,50,98325,0,,4.75,37.4,25.36,36.1,,2.3
"2025-03-02 23:34:53",175,52,98298,-34.077032,-71.579162,4.75,64.7,25.34,36.15,,2.3
"2025-03-02 23:34:54",178,55,98274,0,,2.85,29.2,25.31,36.2,,2.3
"2025-03-02 23:34:55",180,57,98251,0,,3.55,35.3,25.29,36.2,,2.2
"2025-03-02 23:34:56",182,59,98228,-34.076958,-71.579077,4.75,51.9,25.26,36.2,,2.2
"2025-03-02 23:34:57",185,62,98195,0,,2.95,63.6,25.25,36.25,,2.3
"2025-03-02 23:34:58",188,65,98161,0,,4.6,27.3,25.22,36.3,,2.4
"2025-03-02 23:34:59",191,68,98128,-34.076875,-71.578985,5.95,42.8,25.2,36.35,,2.5
"2025-03-02 23:35:00",193,70,98100,0,,3.65,53,25.17,36.35,,2.5
"2025-03-02 23:35:01",196,73,98072,0,,2.85,36.3,25.15,36.35,,2.5
"2025-03-02 23:35:02",198,75,98044,-34.076788,-71.578897,6.25,38.8,25.12,36.4,,2.5
"2025-03-02 23:35:03",200,77,98019,0,,5.25,30.3,25.11,36.4,,2.5
"2025-03-02 23:35:04",203,80,97994,0,,3.25,26.4,25.1,36.4,,2.5
"2025-03-02 23:35:05",205,82,97970,-34.076677,-71.578818,5.55,31.8,25.07,36.4,,2.5
"2025-03-02 23:35:06",208,85,97939,0,,6.4,41.3,25.05,36.45,,2.5
"2025-03-02 23:35:07",210,87,97909,0,,4.25,34.8,25.02,36.45,,2.5
"2025-03-02 23:35:08",213,90,97880,-34.076555,-71.578733,4.7,17.8,25,36.5,30,2.6
