timestamp,msl,agl,pressure,latitude,longitude,speed,heading,temperature,relative_humidity,internal_temperature,rise_speed
"2025-08-08 14:37:33",135,-22,99116,37.760847,23.993433,3.6,294.3,31.2,48.1,,-1.5
"2025-08-08 14:37:34",136,-21,99099,0,,3.25,260.1,31.23,48,,-1.3
"2025-08-08 14:37:35",138,-19,99081,0,,6.2,229.7,31.26,47.9,,-1.1
"2025-08-08 14:37:36",139,-18,99064,37.760788,23.993243,5.8,258.7,31.3,47.85,,-0.8
"2025-08-08 14:37:37",141,-16,99044,0,,6.6,256.8,31.33,47.75,,-0.5
"2025-08-08 14:37:38",143,-14,99025,0,,9.7,253.9,31.34,47.65,,-0.2
"2025-08-08 14:37:39",145,-12,99006,37.760668,23.992923,12.65,239.7,31.32,47.55,,0
"2025-08-08 14:37:41",145,-12,99002,0,,10.05,229.7,31.23,47.55,,0.2
"2025-08-08 14:37:42",145,-12,99000,37.760495,23.992738,8.7,210.8,31.26,47.55,,0.3
"2025-08-08 14:37:43",149,-8,98961,0,,8.95,209,31.23,47.55,,0.7
"2025-08-08 14:37:44",152,-5,98923,0,,8.2,206.5,31.17,47.55,,1.1
"2025-08-08 14:37:45",155,-2,98886,37.760272,23.992637,8.8,194.1,31.25,47.6,,1.5
"2025-08-08 14:37:46",161,3,98829,0,,,189.5,31.19,47.55,,2
"2025-08-08 14:37:47",166,8,98773,0,,11.1,193.7,31.17,47.55,,2.3
"2025-08-08 14:37:48",171,13,98718,37.759908,23.992585,16.3,188.6,31.2,47.6,,2.6
"2025-08-08 14:37:50",184,26,98573,0,,17.75,183.1,31.13,47.55,,3.4
"2025-08-08 14:37:51",191,33,98500,37.75945,23.992567,16.45,188.2,31.08,47.6,,3.8
"2025-08-08 14:37:52",194,36,98460,0,,15.25,179.9,30.98,47.65,,3.8
"2025-08-08 14:37:53",198,40,98422,0,,15.55,164,30.96,47.75,,4.4
"2025-08-08 14:37:54",201,43,98384,37.75901,23.992722,18.35,161.1,30.93,47.8,37.25,4.7
"2025-08-08 14:37:55",205,47,98348,0,,18.45,162.1,31.03,47.8,,4.6
"2025-08-08 14:37:56",208,50,98312,0,,17.05,162.8,31.03,47.8,,4.6
"2025-08-08 14:37:57",211,53,98276,37.758585,23.992895,15.35,162.8,31.07,47.8,,4.6
"2025-08-08 14:37:58",212,54,98272,0,,15.1,164.5,31.1,47.7,,4.3
"2025-08-08 14:37:59",212,54,98269,0,,15.55,169.6,31.03,47.65,,3.9
"2025-08-08 14:38:00",212,54,98266,37.7582,23.993028,14.35,167.3,30.99,47.7,,3.6
"2025-08-08 14:38:02",207,49,98322,0,,13.05,163,30.98,47.75,,2.6
"2025-08-08 14:38:03",204,46,98352,37.757847,23.993185,12.65,153.1,31.01,47.8,,1.6
"2025-08-08 14:38:05",201,43,98393,0,,12.9,168,30.79,47.9,,0.5
"2025-08-08 14:38:06",199,41,98414,37.757457,23.993218,13.75,177.6,30.73,48.05,,0.1
"2025-08-08 14:38:08",198,40,98416,0,,9.15,173.8,30.6,48.35,,-0.5
"2025-08-08 14:38:09",198,40,98418,37.75716,23.993282,9.5,149,30.63,48.5,,-0.7
"2025-08-08 14:38:11",195,37,98458,0,,14.85,182,30.6,48.65,,-1.4
"2025-08-08 14:38:12",193,35,98478,37.756808,23.993265,11.3,185.2,30.57,48.7,,-1.6
"2025-08-08 14:38:14",189,31,98524,0,,12.95,179.6,30.56,48.8,,-1.5
"2025-08-08 14:38:15",186,28,98548,37.756435,23.993193,16.15,190.6,30.56,48.85,,-1.5
"2025-08-08 14:38:17",181,23,98601,0,,12.45,201.1,30.59,48.9,,-1.6
"2025-08-08 14:38:18",179,21,98628,37.756078,23.993085,14.15,186.8,30.64,48.9,,-1.6
"2025-08-08 14:38:20",175,17,98673,0,,13.1,192.6,30.68,48.85,,-2
"2025-08-08 14:38:21",173,15,98696,37.755717,23.993035,13.9,183,30.7,48.8,38.5,-2.1
"2025-08-08 14:38:22",172,14,98701,0,,,,30.7,48.75,,-2
"2025-08-08 14:38:23",172,14,98706,0,,,,30.74,48.7,,-1.9
"2025-08-08 14:38:24",171,13,98712,0,,,,30.85,48.65,,-1.8
"2025-08-08 14:38:25",171,13,98719,0,,12.75,175.9,30.85,48.55,,-1.7
"2025-08-08 14:38:26",170,12,98726,0,,10.6,174.3,30.88,48.5,,-1.6
"2025-08-08 14:38:27",169,11,98734,37.755048,23.993167,11.85,158.2,30.88,48.45,,-1.5
"2025-08-08 14:38:28",169,11,98736,0,,10.2,164.9,31,48.35,,-1.3
"2025-08-08 14:38:29",169,11,98738,0,,11.7,168.7,31.03,48.25,,-1
"2025-08-08 14:38:30",169,11,98740,37.754732,23.993258,12.5,165.5,31.06,48.2,,-0.9
"2025-08-08 14:38:31",168,10,98746,0,,12.15,174,31.06,48.1,,-0.8
"2025-08-08 14:38:32",168,10,98753,0,,14.2,178.6,31.11,48,,-0.6
"2025-08-08 14:38:33",167,9,98760,37.754353,23.993313,13.55,168.9,31.1,47.95,,-0.5
"2025-08-08 14:38:34",167,9,98760,0,,13.8,173.6,31.13,47.9,,-0.5
"2025-08-08 14:38:35",167,9,98761,0,,14.7,174.7,31.14,47.85,,-0.4
