timestamp,msl,agl,pressure,latitude,longitude,speed,heading,temperature,relative_humidity,internal_temperature,rise_speed
"2025-05-02 21:31:53",967,0,89968,-33.130482,-70.95763,0.5,119.4,31.46,21.65,,0
"2025-05-02 21:31:54",969,1,89954,0,,3.25,207.3,31.56,21.35,,0.1
"2025-05-02 21:31:55",970,2,89940,0,,4.1,201.6,31.72,21.2,,0.2
"2025-05-02 21:31:56",972,4,89926,-33.130543,-70.957747,3.8,264,31.81,20.95,,0.3
"2025-05-02 21:31:57",974,6,89900,0,,,262.7,31.82,20.75,,0.5
"2025-05-02 21:31:58",977,9,89874,0,,,223.3,31.77,20.55,,0.7
"2025-05-02 21:31:59",979,11,89848,-33.130612,-70.95789,0.8,260,31.6,20.4,,0.9
"2025-05-02 21:32:01",985,17,89790,0,,3.3,218.8,31.3,20.4,,1.3
"2025-05-02 21:32:02",988,20,89762,-33.130647,-70.958025,4.85,278.3,31.16,20.45,,1.6
"2025-05-02 21:32:03",991,23,89733,0,,4.9,278.3,31.06,20.5,,1.8
"2025-05-02 21:32:04",994,26,89705,0,,5.95,152.1,30.98,20.65,,2
"2025-05-02 21:32:05",996,28,89678,-33.130692,-70.958113,4.75,251.9,30.84,20.65,,2.2
"2025-05-02 21:32:06",998,30,89661,0,,2.9,293.6,30.73,20.75,,2.4
"2025-05-02 21:32:07",1000,32,89644,0,,5.05,224.6,30.64,20.8,,2.5
"2025-05-02 21:32:08",1001,33,89628,-33.130703,-70.958288,5.65,253.4,30.57,20.9,,2.5
"2025-05-02 21:32:09",1004,36,89596,0,,6.65,261.1,30.4,20.95,,2.5
"2025-05-02 21:32:10",1008,40,89565,0,,7.8,250.8,30.29,21.05,,2.6
"2025-05-02 21:32:11",1011,43,89534,-33.130753,-70.958527,6.1,238.3,30.2,21.15,,2.6
"2025-05-02 21:32:12",1013,45,89507,0,,9.3,257,30.03,21.2,,2.6
"2025-05-02 21:32:13",1016,48,89482,0,,9,255.9,29.92,21.35,,2.5
"2025-05-02 21:32:14",1018,50,89458,-33.13077,-70.958817,7,266.9,29.78,21.45,40.5,2.5
"2025-05-02 21:32:16",1025,57,89395,0,,7.5,247.1,29.6,21.75,,2.6
"2025-05-02 21:32:17",1028,60,89364,-33.130792,-70.959097,6.85,262.9,29.52,21.85,,2.6
