timestamp,msl,agl,pressure,latitude,longitude,speed,heading,temperature,relative_humidity,internal_temperature,rise_speed
"2022-01-07 17:05:07",80,0,100526,41.46768,1.9216,2.35,350.7,29.87,30.7,33.75,0
"2022-01-07 17:05:09",80,0,100524,0,,1.55,342.2,29.5,30.45,,0
"2022-01-07 17:05:10",80,0,100524,41.467722,1.921588,1.15,3.9,29.36,30.5,,0
"2022-01-07 17:05:11",80,0,100521,0,,1.15,14.8,29.23,30.65,,0
"2022-01-07 17:05:12",80,0,100519,0,,1.1,63,29.16,31,,0
"2022-01-07 17:05:13",81,1,100518,41.46774,1.92161,1.15,112.8,29.19,31.6,,0
"2022-01-07 17:05:14",83,3,100490,0,,2.45,166.6,29.09,31.7,,0.2
"2022-01-07 17:05:15",85,5,100463,0,,0.4,9.9,28.94,31.6,,0.4
"2022-01-07 17:05:16",88,8,100436,41.467728,1.921635,0.6,67.6,28.79,31.65,,0.6
"2022-01-07 17:05:17",90,10,100407,0,,1.1,99.1,28.66,31.75,,0.8
"2022-01-07 17:05:18",93,13,100380,0,,5.75,202.5,28.53,31.85,,1.1
"2022-01-07 17:05:19",95,15,100354,41.467647,1.92166,6.45,146.4,28.49,32.1,,1.3
"2022-01-07 17:05:20",98,18,100322,0,,4.8,150.5,28.71,32.5,,1.4
"2022-01-07 17:05:21",101,21,100290,0,,4.7,185.8,29.1,32.9,,1.5
"2022-01-07 17:05:22",104,24,100258,41.467513,1.921715,6.95,167.8,29.53,32.95,,1.8
"2022-01-07 17:05:23",108,28,100213,0,,7.25,165.6,30.03,32.8,,2.3
"2022-01-07 17:05:24",111,31,100170,0,,8.95,182.4,30.71,32.6,,2.6
"2022-01-07 17:05:25",115,35,100128,41.467325,1.921748,3.85,175.8,31.3,32.05,,2.9
"2022-01-07 17:05:26",119,39,100088,0,,7.2,217.2,31.96,31.2,,3
"2022-01-07 17:05:27",123,43,100047,0,,6.95,201.4,32.68,30.7,,3.1
"2022-01-07 17:05:28",126,46,100006,41.467163,1.92168,5.8,178.9,33.07,29.55,,3.2
"2022-01-07 17:05:29",129,49,99975,0,,8.8,189.9,33.32,28.65,,3.2
"2022-01-07 17:05:30",132,52,99946,0,,8,182,33.19,27.7,,3.2
"2022-01-07 17:05:31",134,54,99918,41.466967,1.921677,5.7,166.4,32.95,27,,3.2
"2022-01-07 17:05:33",144,64,99810,0,,5.05,151.2,32.26,26.55,,3.6
"2022-01-07 17:05:34",149,69,99756,41.466795,1.921728,7.2,187.8,32.02,26.8,35.25,3.7
"2022-01-07 17:05:35",155,75,99694,0,,8.25,162.4,31.82,27.2,,3.9
"2022-01-07 17:05:36",160,80,99632,0,,8.8,185.5,31.78,27.6,,4.1
"2022-01-07 17:05:37",166,86,99570,41.466572,1.921745,5.55,154.6,31.77,27.9,,4.2
"2022-01-07 17:05:38",168,88,99548,0,,9.85,177.9,31.73,28.05,,4.1
"2022-01-07 17:05:39",170,90,99527,0,,8.05,156.5,31.62,28.1,,3.9
"2022-01-07 17:05:40",172,92,99506,41.466363,1.921788,7.1,203.7,31.49,28.2,,3.8
"2022-01-07 17:05:41",179,99,99424,0,,8.9,193.7,31.48,28.3,,4.2
"2022-01-07 17:05:42",186,106,99343,0,,8.55,202.4,31.41,28.5,,4.6
"2022-01-07 17:05:43",194,114,99262,41.46618,1.92172,6.75,213.2,31.32,28.6,,4.9
"2022-01-07 17:05:44",202,122,99169,0,,,178.6,31.25,28.7,,5.2
"2022-01-07 17:05:45",211,131,99075,0,,4.75,162.1,31.23,28.85,,5.5
"2022-01-07 17:05:46",219,139,98982,41.466048,1.921723,0.1,162.1,31.27,29,,5.8
"2022-01-07 17:05:47",231,151,98855,0,,7.6,206.7,31.29,29.1,,6.3
"2022-01-07 17:05:48",241,161,98736,0,,5.75,171.6,31.27,29.05,,6.7
"2022-01-07 17:05:49",252,172,98618,41.465913,1.921683,2.85,204.7,31.15,29,,7.2
"2022-01-07 17:05:50",260,180,98533,0,,4.35,189.8,31.07,29,,7.7
"2022-01-07 17:05:51",268,188,98446,0,,2.25,107.5,30.86,28.95,,8.2
"2022-01-07 17:05:52",276,196,98360,41.465842,1.921675,4.75,223.2,30.63,29,,8.7
"2022-01-07 17:05:54",295,215,98144,0,,6.3,138.7,30.3,29.3,,9.1
"2022-01-07 17:05:55",305,225,98038,41.465718,1.921722,3.8,171,30.15,29.5,,9.3
"2022-01-07 17:05:56",315,235,97929,0,,4.55,147.3,29.96,29.65,,9.3
"2022-01-07 17:05:57",325,245,97825,0,,6.25,176,29.8,29.9,,9.4
"2022-01-07 17:05:58",334,254,97722,41.4656,1.921755,2.35,175.5,29.66,30.1,,9.5
"2022-01-07 17:06:00",344,264,97615,0,,6.85,128.3,29.52,30.3,,9.4
"2022-01-07 17:06:01",353,273,97513,0,,2.65,114.9,29.36,30.45,,9.2
"2022-01-07 17:06:02",362,282,97412,41.465543,1.921873,5.3,87.3,29.21,30.6,36,9.1
"2022-01-07 17:06:03",370,290,97332,0,,2.95,106.3,29.11,30.85,,9
"2022-01-07 17:06:04",377,297,97256,0,,1.35,232.5,28.99,31,,9
"2022-01-07 17:06:05",384,304,97180,41.465527,1.921927,2.4,70.3,28.87,31.15,,8.9
"2022-01-07 17:06:09",433,353,96643,0,,2.95,55.5,27.77,31.3,,9.1
"2022-01-07 17:06:10",443,363,96532,41.465553,1.92205,0.05,55.5,27.48,31.45,,9.2
"2022-01-07 17:06:11",453,373,96428,0,,3.15,112.8,27.26,31.65,,9.2
"2022-01-07 17:06:12",463,383,96322,0,,1.65,175,27.01,31.9,,9.3
"2022-01-07 17:06:13",472,392,96216,41.465523,1.922082,1.05,359.3,26.76,32.15,,9.3
"2022-01-07 17:06:14",482,402,96114,0,,1.8,287.1,26.57,32.5,,9.3
"2022-01-07 17:06:15",491,411,96016,0,,1.8,287.1,26.37,33,,9.4
"2022-01-07 17:06:16",500,420,95918,41.465533,1.922015,0.05,271.6,26.17,33.35,,9.6
"2022-01-07 17:06:17",508,428,95823,0,,4.1,243.5,26,33.7,,9.7
"2022-01-07 17:06:18",517,437,95731,0,,5.85,252.9,25.89,34.05,,9.6
"2022-01-07 17:06:19",525,445,95640,41.465488,1.921902,3.3,187.8,25.74,34.25,,9.5
"2022-01-07 17:06:20",533,453,95558,0,,1.5,221.3,25.61,34.55,,9.4
"2022-01-07 17:06:21",541,461,95476,0,,3.2,247.6,25.51,34.85,,8.9
"2022-01-07 17:06:22",548,468,95394,41.465452,1.921845,1.8,279.8,25.41,35.15,,8.7
"2022-01-07 17:06:23",555,475,95323,0,,5.1,258.6,25.31,35.35,,8.5
"2022-01-07 17:06:24",561,481,95250,0,,6.15,267.6,25.23,35.6,,8.2
"2022-01-07 17:06:25",568,488,95178,41.465447,1.921692,2.3,312.7,25.16,35.85,,8
"2022-01-07 17:06:29",593,513,94905,0,,3.8,233.8,24.82,36.5,,7.2
"2022-01-07 17:06:30",600,520,94837,0,,3.5,251.6,24.75,36.6,,7
"2022-01-07 17:06:31",606,526,94770,41.465385,1.92143,4.1,255.9,24.64,36.75,,6.9
"2022-01-07 17:06:32",611,531,94717,0,,3.05,232.9,24.47,36.75,,6.5
"2022-01-07 17:06:33",616,536,94666,0,,2.25,248.9,24.32,36.9,,6.2
"2022-01-07 17:06:34",620,540,94616,41.465335,1.921327,4.6,240.8,24.17,37,,6
"2022-01-07 17:06:36",632,552,94486,0,,3.5,239.2,23.9,37.4,,6
"2022-01-07 17:06:37",638,558,94420,41.46531,1.921212,4.2,261.5,23.84,37.65,,5.9
"2022-01-07 17:06:39",653,573,94262,0,,3.25,237,23.67,38,,6.1
"2022-01-07 17:06:40",660,580,94184,41.465292,1.921118,4.4,295,23.59,38.15,,6.1
"2022-01-07 17:06:42",676,596,94012,0,,3.7,264.5,23.59,38.6,,6.4
"2022-01-07 17:06:43",684,604,93926,41.465305,1.920998,3.4,290.3,23.59,38.75,,6.5
"2022-01-07 17:06:45",701,621,93751,0,,4.6,277.3,23.59,38.85,,6.9
"2022-01-07 17:06:46",709,629,93664,41.465322,1.92087,4.15,277.9,23.56,38.85,,7.2
"2022-01-07 17:06:48",725,645,93496,0,,3.75,284.2,23.43,38.95,,7.7
"2022-01-07 17:06:49",732,652,93414,41.46534,1.920782,3.75,237.6,23.34,38.9,,7.8
"2022-01-07 17:06:51",747,667,93258,0,,4,307.7,23.16,39.05,,7.8
"2022-01-07 17:06:52",754,674,93178,41.465373,1.920712,0.05,307.7,23.06,39.15,,7.8
"2022-01-07 17:06:55",777,697,92938,41.46539,1.920628,2.75,256.1,22.84,39.35,33.75,7.7
"2022-01-07 17:06:56",784,704,92867,0,,4.2,288.2,22.75,39.45,,7.6
"2022-01-07 17:06:57",790,710,92795,0,,0.1,288.2,22.67,39.55,,7.5
"2022-01-07 17:06:58",797,717,92724,41.465413,1.920548,4.3,332.1,22.61,39.65,,7.4
"2022-01-07 17:06:59",804,724,92651,0,,2.95,264.8,22.56,39.7,,7.3
"2022-01-07 17:07:00",811,731,92578,0,,2.25,267.8,22.5,39.75,,7.3
"2022-01-07 17:07:01",818,738,92506,41.465453,1.920468,4.2,324.8,22.45,39.75,,7.2
"2022-01-07 17:07:02",825,745,92426,0,,1.1,41.9,22.41,39.85,,7.2
"2022-01-07 17:07:03",833,753,92347,0,,3.45,345.7,22.39,39.85,,7.1
"2022-01-07 17:07:04",840,760,92268,41.465528,1.92044,5.2,327.4,22.36,39.9,,7.1
"2022-01-07 17:07:05",847,767,92198,0,,2.2,347.7,22.27,39.9,,7.1
"2022-01-07 17:07:06",853,773,92130,0,,5.55,316.7,22.21,39.95,,7
"2022-01-07 17:07:07",860,780,92062,41.465628,1.920383,5.3,18.4,22.17,40.1,,6.9
"2022-01-07 17:07:08",864,784,92014,0,,4.1,331.6,22.09,40.1,,6.7
"2022-01-07 17:07:09",869,789,91966,0,,6.15,4.3,22.01,39.85,,6.5
"2022-01-07 17:07:10",873,793,91918,41.465772,1.920395,7.85,23.6,21.93,39.7,,6.3
"2022-01-07 17:07:11",878,798,91869,0,,6.2,327.5,21.83,39.45,,6.1
"2022-01-07 17:07:12",882,802,91821,0,,5.2,28.4,21.75,39.25,,6
"2022-01-07 17:07:13",887,807,91774,41.4659,1.9204,3.7,3.5,21.67,39.3,,5.8
"2022-01-07 17:07:14",894,814,91699,0,,3.45,311.6,21.6,39.4,,5.7
"2022-01-07 17:07:15",901,821,91625,0,,4.3,33.9,21.58,39.6,,5.7
"2022-01-07 17:07:16",908,828,91552,41.466002,1.920398,4.3,351,21.57,39.7,,5.6
"2022-01-07 17:07:17",915,835,91482,0,,3.2,2.4,21.46,39.7,,5.6
"2022-01-07 17:07:18",921,841,91413,0,,7.75,39.8,21.38,39.7,,5.7
"2022-01-07 17:07:19",928,848,91344,41.466107,1.920463,1.9,25.4,21.28,39.65,,5.7
"2022-01-07 17:07:20",935,855,91268,0,,3.75,25.8,21.19,39.75,,5.9
"2022-01-07 17:07:21",942,862,91193,0,,6.3,56.6,21.11,39.85,,6.1
"2022-01-07 17:07:22",949,869,91118,41.46619,1.9206,8.2,68.4,21.02,39.95,33.25,6.3
"2022-01-07 17:07:23",954,874,91064,0,,4.4,34.5,20.94,40.1,,6.3
"2022-01-07 17:07:24",960,880,91006,0,,5.65,75.3,20.84,40.15,,6.3
"2022-01-07 17:07:25",966,886,90948,41.466272,1.920775,8.65,50.8,20.77,40.35,,6.4
"2022-01-07 17:07:26",969,889,90910,0,,2.95,81.2,20.69,40.6,,6.3
"2022-01-07 17:07:27",973,893,90874,0,,4.45,51,20.67,40.95,,6.1
"2022-01-07 17:07:28",976,896,90838,41.466353,1.920918,7,40.6,20.6,41.15,,5.8
"2022-01-07 17:07:41",1037,957,90203,0,,2.55,31.1,19.87,42.6,,4.7
"2022-01-07 17:07:42",1041,961,90154,0,,5.4,48.7,19.8,42.7,,4.7
"2022-01-07 17:07:43",1046,966,90106,41.466958,1.921533,2.05,329,19.75,42.75,,4.7
"2022-01-07 17:07:44",1052,972,90041,0,,,,19.69,42.85,,4.8
"2022-01-07 17:07:45",1059,979,89976,0,,,,19.63,42.85,,4.9
"2022-01-07 17:07:46",1065,985,89912,0,,,,19.54,42.75,,4.9
"2022-01-07 17:07:48",1079,999,89758,0,,1.95,53.6,19.36,42.65,,5.2
"2022-01-07 17:07:49",1087,1007,89682,41.467058,1.921703,6.05,42.4,19.28,42.7,31.75,5.3
"2022-01-07 17:07:50",1092,1012,89627,0,,2.9,56.4,19.2,42.85,,5.3
"2022-01-07 17:07:51",1097,1017,89574,0,,4.3,68.5,19.12,43.05,,5.3
"2022-01-07 17:07:52",1102,1022,89522,41.467128,1.921852,8.85,43.1,19,43.15,,5.3
"2022-01-07 17:07:54",1110,1030,89436,0,,4.4,57.9,18.78,43.25,,5.8
