timestamp,msl,agl,pressure,latitude,longitude,speed,heading,temperature,relative_humidity,internal_temperature,rise_speed
"2026-02-02 21:28:59",1037,0,89238,-36.817057,-71.576785,0.25,90.4,22.29,30.45,,0
"2026-02-02 21:29:00",1039,2,89223,0,,1.5,169.4,22.15,30.35,,0.1
"2026-02-02 21:29:01",1040,3,89208,0,,2.75,150.9,21.99,30.2,,0.2
"2026-02-02 21:29:02",1042,5,89194,-36.817122,-71.576778,3.7,186.7,21.86,30,,0.4
"2026-02-02 21:29:03",1044,7,89168,0,,3.7,161.4,21.71,29.9,,0.5
"2026-02-02 21:29:04",1047,10,89142,0,,6.25,145.6,21.62,29.9,,0.7
"2026-02-02 21:29:05",1049,12,89116,-36.817225,-71.576725,4.45,161.4,21.54,29.9,,0.9
"2026-02-02 21:29:06",1051,14,89100,0,,4.2,133.5,21.44,29.9,,1
"2026-02-02 21:29:07",1052,15,89084,0,,9.7,99.8,21.52,29.9,,1.1
"2026-02-02 21:29:08",1054,17,89068,-36.817293,-71.57657,5,163.7,21.62,29.9,,1.3
"2026-02-02 21:29:10",1056,19,89041,0,,6.65,103.5,22.16,29.9,,1.6
"2026-02-02 21:29:11",1058,21,89028,-36.817337,-71.576403,6.65,111.3,22.93,29.8,,1.7
"2026-02-02 21:29:13",1060,23,89009,0,,6.4,103.1,24.19,29,,1.6
"2026-02-02 21:29:14",1061,24,89000,-36.817377,-71.576218,6.7,104.9,24.68,28.45,,1.6
"2026-02-02 21:29:15",1064,27,88963,0,,7,108.5,,28.05,,1.7
"2026-02-02 21:29:16",1068,31,88926,0,,9.4,118.9,25.82,27.85,,1.8
"2026-02-02 21:29:17",1071,34,88890,-36.817455,-71.576,6.8,133.6,26.62,27.9,,1.9
"2026-02-02 21:29:18",1077,40,88835,0,,4.9,132.5,,27.55,,2.2
"2026-02-02 21:29:19",1082,45,88782,0,,6.55,123.3,28.42,27.35,,2.5
"2026-02-02 21:29:20",1087,50,88730,-36.817517,-71.57583,7.8,113.2,29.11,26.7,32.5,2.8
"2026-02-02 21:29:21",1104,67,88564,0,,7.55,137.8,30.01,26.25,,3.9
"2026-02-02 21:29:22",1122,85,88390,0,,4.4,118.7,30.34,25.25,,4.9
"2026-02-02 21:29:23",1139,102,88216,-36.817587,-71.57568,2,114.1,30.45,23.95,,6.4
"2026-02-02 21:29:24",1149,112,88121,0,,3.4,108.8,30.79,23.45,,7
"2026-02-02 21:29:25",1159,122,88026,0,,3.75,108.8,31.11,23.1,,7.2
"2026-02-02 21:29:26",1168,131,87932,-36.817603,-71.575565,4.6,100,31.33,22.65,,8.4
"2026-02-02 21:29:27",1174,137,87881,0,,2.95,10.7,31.61,22.4,,8.7
"2026-02-02 21:29:28",1179,142,87830,0,,3.9,11,32,22.45,,8.8
"2026-02-02 21:29:29",1184,147,87780,-36.817523,-71.575483,6.45,53.3,32.39,22.3,,9
"2026-02-02 21:29:30",1190,153,87725,0,,4.35,41.1,32.81,22,,9.1
"2026-02-02 21:29:31",1195,158,87671,0,,7.2,33.3,33.25,21.85,,9.1
"2026-02-02 21:29:32",1201,164,87618,-36.817408,-71.57536,4.7,53.9,33.73,21.55,,9.2
"2026-02-02 21:29:33",1202,165,87602,0,,3.05,344.5,34.02,21.1,,8.9
"2026-02-02 21:29:34",1204,167,87587,0,,6.3,17.4,34.13,20.6,,7.7
"2026-02-02 21:29:35",1206,169,87572,-36.817323,-71.575305,3.8,109.5,34.26,20.2,,6.4
"2026-02-02 21:29:36",1209,172,87542,0,,4.75,153,34.19,19.85,,5
