timestamp,msl,agl,pressure,latitude,longitude,speed,heading,temperature,relative_humidity,internal_temperature,rise_speed
"2022-12-07 19:41:55",679,37,93524,41.52842,1.453758,20.1,54.3,24.13,59.3,,
"2022-12-07 19:41:57",679,37,93521,0,,19.85,51.8,24.17,59.2,,
"2022-12-07 19:41:58",679,37,93519,0,,19.65,50.2,24.19,58.9,,
"2022-12-07 19:41:59",679,37,93518,41.528755,1.45431,19.05,49.4,24.19,58.7,,
"2022-12-07 19:42:01",680,38,93512,0,,17.4,48.9,24.2,58.15,,
"2022-12-07 19:42:02",680,38,93510,41.529177,1.454952,17.25,49.8,24.2,57.9,,
"2022-12-07 19:42:03",680,38,93511,0,,17.55,50.2,24.2,57.65,,
"2022-12-07 19:42:04",680,38,93512,0,,18.1,50.5,24.2,57.45,,
"2022-12-07 19:42:05",680,38,93514,41.529477,1.455445,18.1,50.9,24.2,57.3,,
"2022-12-07 19:42:06",679,37,93518,0,,18.15,51,24.2,57.1,,
"2022-12-07 19:42:07",679,37,93523,0,,18.6,52.5,24.2,57,,
"2022-12-07 19:42:08",679,37,93528,41.529783,1.455972,19.5,54.6,24.2,56.9,,0
"2022-12-07 19:42:10",682,40,93492,0,,19.95,50.3,24.23,56.8,,0.2
"2022-12-07 19:42:11",684,42,93474,41.530123,1.456523,20.25,47.1,24.26,56.7,,0.3
"2022-12-07 19:42:12",685,43,93464,0,,19.9,47.5,24.28,56.5,,0.4
"2022-12-07 19:42:13",685,43,93455,0,,19.45,51,24.31,56.3,,0.4
"2022-12-07 19:42:14",686,44,93446,41.53046,1.457067,19.05,55.2,24.32,56.05,,0.5
"2022-12-07 19:42:16",686,44,93451,0,,16,62.1,24.32,55.8,,0.5
"2022-12-07 19:42:17",685,43,93454,41.530673,1.4576,14.85,69.6,24.32,55.6,28.25,0.5
"2022-12-07 19:42:18",685,43,93457,0,,14.6,77.6,24.31,55.4,,0.5
"2022-12-07 19:42:19",685,43,93460,0,,15.25,87.3,24.3,55.2,,0.5
"2022-12-07 19:42:20",685,43,93464,41.530692,1.458145,15.8,95.2,24.3,54.9,,0.5
"2022-12-07 19:42:21",684,42,93472,0,,15.1,99.9,24.28,54.75,,0.4
"2022-12-07 19:42:22",683,41,93481,0,,13.75,97.3,24.28,54.5,,0.1
"2022-12-07 19:42:23",682,40,93490,41.530635,1.45866,13.9,91.3,24.26,54.15,,-0.1
"2022-12-07 19:42:25",683,41,93481,0,,16,78.4,24.23,53.85,,-0.1
"2022-12-07 19:42:26",683,41,93478,41.530702,1.459195,16.6,73.3,24.2,53.8,,-0.2
"2022-12-07 19:42:27",684,42,93474,0,,16.75,65.7,24.2,53.5,,-0.2
"2022-12-07 19:42:28",684,42,93471,0,,17.2,61.2,24.2,53.4,,-0.2
"2022-12-07 19:42:29",684,42,93468,41.530908,1.459738,17.1,55.5,24.18,53.45,,-0.1
"2022-12-07 19:42:30",684,42,93467,0,,16.2,48.8,24.16,53.3,,-0.1
"2022-12-07 19:42:31",684,42,93466,0,,15.3,48,24.13,53,,0
"2022-12-07 19:42:32",684,42,93466,41.531175,1.460175,14.1,54.9,24.1,52.65,,0
"2022-12-07 19:42:33",685,43,93456,0,,13.2,66.6,24.07,52.3,,0.1
"2022-12-07 19:42:34",686,44,93447,0,,12.7,79.6,24.06,52.05,,0.3
"2022-12-07 19:42:35",687,45,93438,41.531272,1.460622,12.45,88.4,24.05,52,,0.4
"2022-12-07 19:42:36",687,45,93441,0,,11.85,85.5,24.05,51.95,,0.3
"2022-12-07 19:42:37",686,44,93445,0,,11.4,79.9,24.05,51.9,,0.3
"2022-12-07 19:42:38",686,44,93450,41.531335,1.461018,10.55,68.7,24.05,51.85,,0.2
"2022-12-07 19:42:41",687,45,93442,41.531517,1.461315,11.25,50.5,24.06,51.55,,0.2
"2022-12-07 19:42:42",687,45,93439,0,,11.4,56.6,24.06,51.45,,0.2
"2022-12-07 19:42:43",687,45,93436,0,,11.8,59.5,24.06,51.3,,0.2
"2022-12-07 19:42:44",687,45,93434,41.531687,1.461658,11.8,59.8,24.06,51.2,28.25,0.2
"2022-12-07 19:42:45",687,45,93437,0,,11.45,57.8,24.06,51.05,,0.2
"2022-12-07 19:42:46",687,45,93440,0,,10.95,56.8,24.06,50.95,,0.1
"2022-12-07 19:42:47",686,44,93444,41.531852,1.46199,10.4,56.7,24.06,50.9,,0
"2022-12-07 19:42:48",687,45,93441,0,,10.05,58.6,24.05,50.95,,0
"2022-12-07 19:42:49",687,45,93438,0,,9.6,60.4,24.05,50.95,,0.1
"2022-12-07 19:42:50",687,45,93436,41.531985,1.462292,9.5,62.7,24.04,51,,0.1
"2022-12-07 19:42:51",688,46,93428,0,,9.5,66.1,24.04,51.1,,0.2
"2022-12-07 19:42:52",689,47,93421,0,,9.45,70.2,24.03,51.15,,0.2
"2022-12-07 19:42:53",689,47,93414,41.532075,1.462603,9.2,76.6,24.03,51.2,,0.2
"2022-12-07 19:42:55",689,47,93411,0,,7.8,85.2,24.03,51.2,,0.2
"2022-12-07 19:42:56",690,48,93410,41.532095,1.462885,6.65,91.9,24.03,51.15,,0.2
"2022-12-07 19:42:58",690,48,93404,0,,4.45,131.9,24.02,51.05,,0.3
"2022-12-07 19:42:59",690,48,93402,41.532025,1.463005,3.95,147.1,24.01,51,,0.3
